Local SKU Code,Myntra SKU ID,SKU ID
BP7076Fuchsia_COD-3XL,BNWMCOORD83984466,83984466
BP7076Fuchsia_COD-4XL,BNWMCOORD83984468,83984468
BP7076Fuchsia_COD-5XL,BNWMCOORD83984486,83984486
BP7076Fuchsia_COD-6XL,BNWMCOORD83984472,83984472
BP7080GREY_COD-3XL,BNWMCOORD77680446,77680446
BP7080GREY_COD-4XL,BNWMCOORD77680450,77680450
BP7080GREY_COD-5XL,BNWMCOORD77680454,77680454
BP7080YELL_COD-3XL,BNWMCOORD77680466,77680466
BP7080YELL_COD-4XL,BNWMCOORD77680468,77680468
BP7080YELL_COD-5XL,BNWMCOORD77680470,77680470
BP7080YELL_COD-6XL,BNWMCOORD77680472,77680472
BP7083GRN_COD-3XL,BNWMCOORD77680158,77680158
BP7083GRN_COD-4XL,BNWMCOORD77680160,77680160
BP7083GRN_COD-5XL,BNWMCOORD77680162,77680162
BP7083PINK_COD-6XL,BNWMCOORD77680252,77680252
BP7084GRN_COD-3XL,BNWMCOORD77680204,77680204
BP7084GRN_COD-4XL,BNWMCOORD77680208,77680208
BP7084GRN_COD-5XL,BNWMCOORD77680212,77680212
BP7084GRN_COD-6XL,BNWMCOORD77680216,77680216
BP7084PINK_COD-3XL,BNWMCOORD77680314,77680314
BP7088MRN_COD-3XL,BNWMCOORD81357132,81357132
BP7088MRN_COD-4XL,BNWMCOORD81357136,81357136
BP7088NAVE_COD-3XL,BNWMCOORD81357142,81357142
BP7088NAVE_COD-5XL,BNWMCOORD81357146,81357146
BP7089GRN_COD-3XL,BNWMCOORD77680290,77680290
BP7089GRN_COD-4XL,BNWMCOORD77680292,77680292
BP7089PINK_COD-3XL,BNWMCOORD80985210,80985210
BP8022GREY_SKD-3XL,BNWMKASS81386998,81386998
BP8022GREY_SKD-4XL,BNWMKASS81387002,81387002
BP8022GREY_SKD-5XL,BNWMKASS81387006,81387006
BP8022RUST_SKD-3XL,BNWMKASS81386828,81386828
