Local_SKU,Myntra_SKU,SKU_ID,Category,Nykaa_SKU
BP7008Grey_COD-4XL,BNWMCOORD75268298,75268298,Co-Ords,BANIW00002956
BP7008Grey_COD-5XL,BNWMCOORD75268300,75268300,Co-Ords,BANIW00002957
BP7008Grey_COD-6XL,BNWMCOORD75268302,75268302,Co-Ords,BANIW00002958
BP7009MUST_COD-3XL,BNWMCLST73652406,73652406,Co-Ords,BANIW00002943
BP7009MUST_COD-4XL,BNWMCLST73652408,73652408,Co-Ords,BANIW00002944
BP7009MUST_COD-5XL,BNWMCLST73652410,73652410,Co-Ords,BANIW00002945
BP7009MUST_COD-6XL,BNWMCLST73652412,73652412,Co-Ords,BANIW00002946
BP7009ROSE_COD-3XL,BNWMCLST73652392,73652392,Co-Ords,BANIW00002947
BP7009ROSE_COD-4XL,BNWMCLST73652400,73652400,Co-Ords,BANIW00002948
BP7009ROSE_COD-5XL,BNWMCLST73652402,73652402,Co-Ords,BANIW00002949
BP7009ROSE_COD-6XL,BNWMCLST73652404,73652404,Co-Ords,BANIW00002950
BP7010BLUE_COD-3XL,BNWMCOORD77680438,77680438,Co-Ords,BANIW00003303
BP7010BLUE_COD-4XL,BNWMCOORD77680440,77680440,Co-Ords,BANIW00003304
BP7010BLUE_COD-5XL,BNWMCOORD77680442,77680442,Co-Ords,BANIW00003305
BP7010BLUE_COD-6XL,BNWMCOORD77680444,77680444,Co-Ords,BANIW00003306
BP7010WINE_COD-4XL,BNWMCLST73652394,73652394,Co-Ords,BANIW00002952
BP7034YELL_KT-3XL,BNWMKRTI73365354,73365354,Kurtas,#N/A
BP7047YELL_COD-3XL,BNWMCOORD75268312,75268312,Co-Ords,BANIW00002971
BP7069AQUA_SKD-3XL,BNWMKASS77471580,77471580,Kurta Sets,BANIW00003160
BP7069AQUA_SKD-4XL,BNWMKASS77471582,77471582,Kurta Sets,BANIW00003161
BP7069PINK_SKD-3XL,BNWMKASS77471504,77471504,Kurta Sets,BANIW00003222
BP7069PINK_SKD-4XL,BNWMKASS77471506,77471506,Kurta Sets,BANIW00003223
BP7069PINK_SKD-5XL,BNWMKASS77471508,77471508,Kurta Sets,BANIW00003224
BP7070PINK_SKD-3XL,BNWMKASS77471512,77471512,Kurta Sets,BANIW00003226
BP7071GRN_COD-3XL,BNWMCOORD81357064,81357064,Co-Ords,BANIW00004367
BP7071PINK_COD-3XL,BNWMCOORD81357108,81357108,Co-Ords,BANIW00004371
BP7076BRN_COD-3XL,BNWMCOORD83984476,83984476,Co-Ords,BANIW00005296
BP7076BRN_COD-4XL,BNWMCOORD83984484,83984484,Co-Ords,BANIW00005297
BP7076BRN_COD-5XL,BNWMCOORD83984486,83984486,Co-Ords,BANIW00005298
BP7076BRN_COD-6XL,BNWMCOORD83984488,83984488,Co-Ords,BANIW00005299
BP7076Fuchsia_COD-3XL,BNWMCOORD83984466,83984466,Co-Ords,BANIW00005300
BP7076Fuchsia_COD-4XL,BNWMCOORD83984468,83984468,Co-Ords,BANIW00005301
BP7076Fuchsia_COD-5XL,BNWMCOORD83984486,83984486,Co-Ords,BANIW00005302
BP7076Fuchsia_COD-6XL,BNWMCOORD83984472,83984472,Co-Ords,BANIW00005303
BP7080GREY_COD-3XL,BNWMCOORD77680446,77680446,Co-Ords,BANIW00003307
BP7080GREY_COD-4XL,BNWMCOORD77680450,77680450,Co-Ords,BANIW00003308
BP7080GREY_COD-5XL,BNWMCOORD77680454,77680454,Co-Ords,BANIW00003309
BP7080YELL_COD-3XL,BNWMCOORD77680466,77680466,Co-Ords,BANIW00003311
BP7080YELL_COD-4XL,BNWMCOORD77680468,77680468,Co-Ords,BANIW00003312
BP7080YELL_COD-5XL,BNWMCOORD77680470,77680470,Co-Ords,BANIW00003313
BP7080YELL_COD-6XL,BNWMCOORD77680472,77680472,Co-Ords,BANIW00003314
BP7083GRN_COD-3XL,BNWMCOORD77680158,77680158,Co-Ords,BANIW00003315
BP7083GRN_COD-4XL,BNWMCOORD77680160,77680160,Co-Ords,BANIW00003316
BP7083GRN_COD-5XL,BNWMCOORD77680162,77680162,Co-Ords,BANIW00003317
BP7083PINK_COD-6XL,BNWMCOORD77680252,77680252,Co-Ords,BANIW00003322
BP7084GRN_COD-3XL,BNWMCOORD77680204,77680204,Co-Ords,BANIW00003323
BP7084GRN_COD-4XL,BNWMCOORD77680208,77680208,Co-Ords,BANIW00003324
BP7084GRN_COD-5XL,BNWMCOORD77680212,77680212,Co-Ords,BANIW00003325
BP7084GRN_COD-6XL,BNWMCOORD77680216,77680216,Co-Ords,BANIW00003326
